imagen,gramos,iteracion,grupo_excluido,predicho,error,error_abs
T0G-1.jpg,0.0,1,0.0,38.493712557483775,-38.493712557483775,38.493712557483775
T10G-1.jpg,10.0,1,10.0,17.421975510463486,-7.421975510463486,7.421975510463486
T10G-2.jpg,10.0,2,10.0,36.308179160073955,-26.308179160073955,26.308179160073955
T10G-3.jpg,10.0,3,10.0,39.481357940918706,-29.481357940918706,29.481357940918706
T10G-4.jpg,10.0,4,10.0,32.14235248620492,-22.14235248620492,22.14235248620492
T10G-5.jpg,10.0,5,10.0,39.86348703101841,-29.86348703101841,29.86348703101841
T20G-1.jpg,20.0,1,20.0,17.436617180563264,2.563382819436736,2.563382819436736
T20G-2.jpg,20.0,2,20.0,34.636284615902014,-14.636284615902014,14.636284615902014
T20G-3.jpg,20.0,3,20.0,27.966909374351772,-7.966909374351772,7.966909374351772
T20G-4.jpg,20.0,4,20.0,23.32700345502159,-3.3270034550215897,3.3270034550215897
T20G-5.jpg,20.0,5,20.0,26.535227161771893,-6.535227161771893,6.535227161771893
T30G-1.jpg,30.0,1,30.0,24.04157673032808,5.958423269671918,5.958423269671918
T30G-2.jpg,30.0,2,30.0,21.70459247131479,8.29540752868521,8.29540752868521
T30G-3.jpg,30.0,3,30.0,32.85217315127835,-2.8521731512783504,2.8521731512783504
T30G-4.jpg,30.0,4,30.0,44.88930715630686,-14.889307156306863,14.889307156306863
T30G-5.jpg,30.0,5,30.0,37.51297714077716,-7.51297714077716,7.51297714077716
T40G-1.jpg,40.0,1,40.0,30.056447570748876,9.943552429251124,9.943552429251124
T40G-2.jpg,40.0,2,40.0,35.79196475640723,4.208035243592768,4.208035243592768
T40G-3.jpg,40.0,3,40.0,22.412918632922615,17.587081367077385,17.587081367077385
T40G-4.jpg,40.0,4,40.0,28.230882445616093,11.769117554383907,11.769117554383907
T40G-5.jpg,40.0,5,40.0,5.705613360653906,34.294386639346094,34.294386639346094
T50G-1.jpg,50.0,1,50.0,18.34907733461734,31.65092266538266,31.65092266538266
T50G-2.jpg,50.0,2,50.0,25.797622921646262,24.202377078353738,24.202377078353738
T50G-3.jpg,50.0,3,50.0,32.61876162481245,17.38123837518755,17.38123837518755
T50G-4.jpg,50.0,4,50.0,15.904281033310887,34.09571896668911,34.09571896668911
T50G-5.jpg,50.0,5,50.0,14.491120913970782,35.50887908602922,35.50887908602922
